"","display_name","host_organization_name","works_count","cited_by_count","twoyr_mean_citedness","h_index","i10","OpenAlex_id"
"1","Acta Archaeologica","Wiley",1478,2046,0.23,22,63,"S111391483"
"2","Advances in Archaeological Practice","Cambridge University Press",425,4599,1.49,33,148,"S2764497410"
"3","African Archaeological Review","Springer Science+Business Media",777,16407,0.8,67,387,"S203792648"
"4","Akkadica",NA,59,158,0,6,3,"S4306501266"
"5","American Antiquity","Cambridge University Press",10903,155609,0.53,154,2709,"S34864311"
"6","American Journal of Archaeology","Archaeological Institute of America",13879,97047,0.27,110,2216,"S152567572"
"7","Anatolian Studies","Cambridge University Press",1009,13156,0.28,55,300,"S2764770367"
"8","Ancient Mesoamerica","Cambridge University Press",999,16561,0.77,57,479,"S32654796"
"9","Anthropozoologica",NA,694,3463,0.48,27,101,"S4210233383"
"10","Antiquity","Cambridge University Press",13979,120049,1.31,122,2641,"S173880072"
"11","Archaeofauna","Autonomous University of Madrid",382,2753,0.4,25,106,"S136319399"
"12","Archaeological Dialogues","Cambridge University Press",700,8620,1.44,45,167,"S126659790"
"13","Archaeological Prospection","Wiley",957,15023,1.77,54,419,"S180658431"
"14","Archaeological Reports","Cambridge University Press",610,2069,0.1,26,40,"S2764604392"
"15","Archaeological Research in Asia","Elsevier BV",343,3391,1.17,28,114,"S2898610133"
"16","Archaeological and Anthropological Sciences","Springer Nature",1750,28318,1.98,57,904,"S160634688"
"17","Archaeologies","Springer Science+Business Media",507,4231,0.62,31,123,"S4210186265"
"18","Archaeology","Archaeological Institute of America",148,751,0,14,21,"S52128801"
"19","Archaeology in Oceania","Wiley",106,773,0,6,5,"S57807897"
"20","Archaeometry","Wiley",2868,76023,1.4,106,1588,"S35512523"
"21","Archäologisches Korrespondenzblatt",NA,336,709,0,13,20,"S1010243106"
"22","Arqueología","Instituto de Arqueología, Facultad de Filosofía y Letras, Universidad de Buenos Aires",1394,2513,0.55,18,48,"S2738748174"
